City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,utrik,11.2278,169.8474,26.08000000000004,86,100,9.95,MH,1706755342
1,saipan,15.1355,145.701,29.390000000000043,54,20,9.26,MP,1706754858
2,port-aux-francais,-49.35,70.2167,5.080000000000041,84,97,5.37,TF,1706755342
3,albany,42.6001,-73.9662,1.4800000000000182,85,100,0.84,US,1706755166
4,bethel,41.3712,-73.414,2.0500000000000114,80,100,0.45,US,1706755096
5,kolasin,42.8223,19.5165,-0.45999999999997954,51,41,0.98,ME,1706755343
6,robertsport,6.7533,-11.3686,27.379999999999995,83,72,3.33,LR,1706755343
7,ribeira grande,38.5167,-28.7,15.990000000000009,86,65,7.15,PT,1706755343
8,trudobelikovskiy,45.2686,38.1631,-0.39999999999997726,79,88,1.92,RU,1706755344
9,kumta,14.4167,74.4,23.510000000000048,75,93,1.34,IN,1706755344
10,puerto natales,-51.7236,-72.4875,8.240000000000009,85,99,1.14,CL,1706755344
11,punta arenas,-53.15,-70.9167,10.060000000000002,71,0,3.09,CL,1706755135
12,flying fish cove,-10.4217,105.6791,28.82000000000005,74,40,3.09,CX,1706755345
13,thompson,55.7435,-97.8558,-16.909999999999968,85,75,0.0,CA,1706755326
14,constantia,44.1833,28.65,-2.3899999999999864,66,9,2.91,RO,1706755345
15,tofol,5.3248,163.0078,27.410000000000025,83,100,10.19,FM,1706755345
16,edinburgh of the seven seas,-37.0676,-12.3116,17.620000000000005,78,98,5.3,SH,1706755297
17,petropavlovsk-kamchatsky,53.0452,158.6483,-13.639999999999986,62,40,2.68,RU,1706755346
18,labytnangi,66.6572,66.4183,-18.789999999999964,98,100,3.83,RU,1706755346
19,weno,7.4515,151.8468,27.970000000000027,78,100,4.63,FM,1706755346
20,chonchi,-42.6128,-73.8092,17.840000000000032,98,20,1.38,CL,1706755322
21,port macquarie,-31.4333,152.9167,29.379999999999995,63,14,4.13,AU,1706755347
22,saldanha,-33.0117,17.9442,17.03000000000003,94,5,5.17,ZA,1706755347
23,khorinsk,52.1657,109.7726,-25.75999999999999,93,45,0.77,RU,1706755347
